print(CP_Data)
[['1', '1', '7', '5', '5.2450', '0.1609', '0.3884', '0.03425', '0.04770', '2.73'], 
['2', '1', '7', '5', '5.2450', '0.3884', '0.1609', '0.04945', '0.06653', '3.81'], 
['3', '1', '7', '5', '5.2450', '0.3884', '-0.1609', '0.07271', '0.09315', '5.35'], 
['4', '1', '7', '5', '5.2450', '0.1609', '-0.3884', '0.09047', '0.11198', '6.43'], 
['5', '1', '7', '5', '13.9500', '0.3217', '0.7767', '-0.02001', '-0.03224', '-1.85'], 
['6', '1', '7', '5', '13.9500', '0.7767', '0.3217', '-0.00858', '-0.01336', '-0.77'], 
['7', '1', '7', '5', '13.9500', '0.7767', '-0.3217', '0.00900', '0.01336', '0.77'], 
['8', '1', '7', '5', '13.9500', '0.3217', '-0.7767', '0.02250', '0.03224', '1.85'], 
['9', '1', '7', '5', '20.9720', '0.1609', '0.5734', '-0.05591', '-0.10198', '-5.85'], 
['10', '1', '7', '5', '20.9720', '0.3884', '0.3459', '-0.05986', '-0.11090', '-6.37'], 
['11', '1', '7', '5', '20.9720', '0.3884', '0.0241', '-0.06512', '-0.12328', '-7.08'], 
['12', '1', '7', '5', '20.9720', '0.1609', '-0.2034', '-0.06862', '-0.13185', '-7.58'], 
['13', '2', '1', '5', '11.9028', '0.6884', '-0.9982', '0.00187', '0.03060', '1.75'],  
['14', '2', '1', '5', '12.7620', '0.6884', '-0.9961', '0.00237', '0.03440', '1.97'], 
['15', '2', '1', '5', '13.6213', '0.6884', '-0.9959', '0.00244', '0.03490', '2.00'], 
['16', '2', '1', '5', '14.4806', '0.6884', '-0.9959', '0.00244', '0.03490', '2.00'], 
['17', '2', '1', '5', '15.3399', '0.6884', '-0.9960', '0.00247', '0.03515', '2.01'], 
['18', '2', '1', '5', '16.1991', '0.6884', '-0.9963', '0.00250', '0.03538', '2.03'], 
['19', '2', '1', '5', '17.0584', '0.6884', '-0.9970', '0.00262', '0.03617', '2.07'], 
['20', '2', '1', '5', '17.9177', '0.6884', '-0.9988', '0.00284', '0.03770', '2.16'], 
['21', '2', '1', '5', '13.6442', '1.9978', '-0.9987', '0.00187', '0.03060', '1.75'], 
['22', '2', '1', '5', '14.2462', '1.9978', '-0.9973', '0.00237', '0.03440', '1.97'], 
['23', '2', '1', '5', '14.8483', '1.9978', '-0.9971', '0.00244', '0.03490', '2.00'], 
['24', '2', '1', '5', '15.4504', '1.9978', '-0.9971', '0.00244', '0.03490', '2.00'], 
['25', '2', '1', '5', '16.0525', '1.9978', '-0.9972', '0.00247', '0.03515', '2.01'], 
['26', '2', '1', '5', '16.6545', '1.9978', '-0.9974', '0.00250', '0.03538', '2.03'], 
['27', '2', '1', '5', '17.2566', '1.9978', '-0.9979', '0.00262', '0.03617', '2.07'], 
['28', '2', '1', '5', '17.8587', '1.9978', '-0.9992', '0.00284', '0.03770', '2.16'], 
['29', '2', '1', '5', '15.1255', '3.1116', '-0.9992', '0.00187', '0.03060', '1.75'], 
['30', '2', '1', '5', '15.5088', '3.1116', '-0.9983', '0.00237', '0.03440', '1.97'], 
['31', '2', '1', '5', '15.8921', '3.1116', '-0.9982', '0.00244', '0.03490', '2.00'], 
['32', '2', '1', '5', '16.2753', '3.1116', '-0.9982', '0.00244', '0.03490', '2.00'], 
['33', '2', '1', '5', '16.6586', '3.1116', '-0.9982', '0.00247', '0.03515', '2.01'], 
['34', '2', '1', '5', '17.0419', '3.1116', '-0.9983', '0.00250', '0.03538', '2.03'], 
['35', '2', '1', '5', '17.4252', '3.1116', '-0.9987', '0.00262', '0.03617', '2.07'], 
['36', '2', '1', '5', '17.8085', '3.1116', '-0.9995', '0.00284', '0.03770', '2.16'], 
['37', '2', '1', '5', '16.2017', '3.9209', '-0.9995', '0.00187', '0.03060', '1.75'], 
['38', '2', '1', '5', '16.4261', '3.9209', '-0.9990', '0.00237', '0.03440', '1.97'], 
['39', '2', '1', '5', '16.6504', '3.9209', '-0.9989', '0.00244', '0.03490', '2.00'], 
['40', '2', '1', '5', '16.8747', '3.9209', '-0.9989', '0.00244', '0.03490', '2.00'], 
['41', '2', '1', '5', '17.0990', '3.9209', '-0.9990', '0.00247', '0.03515', '2.01'], 
['42', '2', '1', '5', '17.3234', '3.9209', '-0.9990', '0.00250', '0.03538', '2.03'], 
['43', '2', '1', '5', '17.5477', '3.9209', '-0.9992', '0.00262', '0.03617', '2.07'], 
['44', '2', '1', '5', '17.7720', '3.9209', '-0.9997', '0.00284', '0.03770', '2.16'], 
['45', '2', '1', '5', '16.7675', '4.3463', '-0.9997', '0.00187', '0.03060', '1.75'], 
['46', '2', '1', '5', '16.9083', '4.3463', '-0.9994', '0.00237', '0.03440', '1.97'], 
['47', '2', '1', '5', '17.0491', '4.3463', '-0.9993', '0.00244', '0.03490', '2.00'], 
['48', '2', '1', '5', '17.1898', '4.3463', '-0.9993', '0.00244', '0.03490', '2.00'], 
['49', '2', '1', '5', '17.3306', '4.3463', '-0.9993', '0.00247', '0.03515', '2.01'], 
['50', '2', '1', '5', '17.4713', '4.3463', '-0.9994', '0.00250', '0.03538', '2.03'], 
['51', '2', '1', '5', '17.6121', '4.3463', '-0.9995', '0.00262', '0.03618', '2.07'], 
['52', '2', '1', '5', '17.7528', '4.3463', '-0.9998', '0.00284', '0.03770', '2.16'], 
['53', '3', '1', '5', '11.9028', '0.6884', '-1.0018', '0.00307', '0.03920', '2.25'], 
['54', '3', '1', '5', '12.7620', '0.6884', '-1.0039', '0.00251', '0.03540', '2.03'], 
['55', '3', '1', '5', '13.6213', '0.6884', '-1.0041', '0.00244', '0.03490', '2.00'], 
['56', '3', '1', '5', '14.4806', '0.6884', '-1.0041', '0.00244', '0.03490', '2.00'], 
['57', '3', '1', '5', '15.3399', '0.6884', '-1.0040', '0.00240', '0.03465', '1.99'], 
['58', '3', '1', '5', '16.1991', '0.6884', '-1.0037', '0.00237', '0.03442', '1.97'], 
['59', '3', '1', '5', '17.0584', '0.6884', '-1.0030', '0.00226', '0.03362', '1.93'], 
['60', '3', '1', '5', '17.9177', '0.6884', '-1.0012', '0.00206', '0.03210', '1.84'], 
['61', '3', '1', '5', '13.6442', '1.9978', '-1.0013', '0.00307', '0.03920', '2.25'], 
['62', '3', '1', '5', '14.2462', '1.9978', '-1.0027', '0.00251', '0.03540', '2.03'], 
['63', '3', '1', '5', '14.8483', '1.9978', '-1.0029', '0.00244', '0.03490', '2.00'], 
['64', '3', '1', '5', '15.4504', '1.9978', '-1.0029', '0.00244', '0.03490', '2.00'], 
['65', '3', '1', '5', '16.0525', '1.9978', '-1.0028', '0.00240', '0.03465', '1.99'], 
['66', '3', '1', '5', '16.6545', '1.9978', '-1.0026', '0.00237', '0.03442', '1.97'], 
['67', '3', '1', '5', '17.2566', '1.9978', '-1.0021', '0.00226', '0.03362', '1.93'], 
['68', '3', '1', '5', '17.8587', '1.9978', '-1.0008', '0.00206', '0.03210', '1.84'], 
['69', '3', '1', '5', '15.1255', '3.1116', '-1.0008', '0.00307', '0.03920', '2.25'], 
['70', '3', '1', '5', '15.5088', '3.1116', '-1.0017', '0.00251', '0.03540', '2.03'], 
['71', '3', '1', '5', '15.8921', '3.1116', '-1.0018', '0.00244', '0.03490', '2.00'], 
['72', '3', '1', '5', '16.2753', '3.1116', '-1.0018', '0.00244', '0.03490', '2.00'], 
['73', '3', '1', '5', '16.6586', '3.1116', '-1.0018', '0.00240', '0.03465', '1.99'], 
['74', '3', '1', '5', '17.0419', '3.1116', '-1.0017', '0.00237', '0.03442', '1.97'], 
['75', '3', '1', '5', '17.4252', '3.1116', '-1.0013', '0.00226', '0.03362', '1.93'], 
['76', '3', '1', '5', '17.8085', '3.1116', '-1.0005', '0.00206', '0.03210', '1.84'], 
